post_title,ID,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email,meta:apply_before_tax,meta:auto_generate_coupon,meta:coupon_generated_by,meta:coupon_title_prefix,meta:coupon_title_suffix,meta:description,meta:expiry_date,meta:is_pick_price_of_product,meta:sa_cbl_billing_locations,meta:sa_cbl_locations_lookup_in,meta:sa_cbl_shipping_locations,meta:sc_coupon_validity,meta:sc_disable_email_restriction,meta:sc_is_visible_storewide,meta:sc_restrict_to_new_user,meta:shareasale_wc_tracker_coupon_upload_enabled,meta:slide_template,meta:validity_suffix,meta:wc_coupon_message,meta:wc_email_message,meta:wc_sc_add_product_details,meta:wc_sc_auto_apply_coupon,meta:wc_sc_exclude_product_attribute_ids,meta:wc_sc_expiry_time,meta:wc_sc_max_discount,meta:wc_sc_payment_method_ids,meta:wc_sc_product_attribute_ids,meta:wc_sc_shipping_method_ids,meta:wc_sc_user_role_ids
amk4-oosh-xuug,276578,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u4gs-guzn-iqff,276579,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0pzu-nclz-yidq,276580,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0jpv-psrh-leia,276581,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7qo-ztnt-scjm,276582,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63oq-sfmx-zbbl,276583,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tl3q-vehb-nisq,276584,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1pdw-9plv-gms7,276585,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee8u-vimf-j9l4,276586,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u6g6-5ajp-gu5x,276587,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uhkf-ulf6-mffp,276588,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6qta-xdt0-zvj3,276589,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nscm-mywh-vvnd,276590,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gthw-o8qd-4oyt,276591,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jcgs-dzhl-rwvi,276592,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drej-7d3n-f67l,276593,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3vu-c54z-nqgf,276594,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgxv-j5ag-ymgp,276595,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4shs-giud-jxp0,276596,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vuaz-zilm-da1x,276597,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24zi-cdds-pf8v,276598,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otxt-bl0m-yfft,276599,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fqwo-gpoy-hiew,276600,,publish,"2019-10-28 21:17:17",1,fixed_cart,20,no,,,,,,1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
